Lambda  Total   NH2/H    sNH/H2   NH/H/H   NH3+     NH2+H    NH+H2    N+H2/H   H+NH2   
 1299.0 8.40E-18 4.41E-18 1.24E-18 2.75E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1300.0 1.60E-17 8.43E-18 2.36E-18 5.21E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1301.0 1.02E-17 5.40E-18 1.50E-18 3.31E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1303.0 1.67E-17 8.90E-18 2.43E-18 5.37E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1305.0 1.04E-17 5.59E-18 1.50E-18 3.32E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1306.0 9.30E-18 5.01E-18 1.33E-18 2.95E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1307.5 3.78E-17 2.05E-17 5.37E-18 1.19E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1310.0 7.10E-18 3.89E-18 9.98E-19 2.22E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1312.0 3.60E-18 1.98E-18 5.01E-19 1.11E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1314.0 7.60E-18 4.22E-18 1.05E-18 2.33E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1314.5 4.80E-18 2.67E-18 6.60E-19 1.47E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1315.0 9.70E-18 5.41E-18 1.33E-18 2.96E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1315.5 5.40E-18 3.02E-18 7.39E-19 1.65E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1316.5 8.40E-18 4.71E-18 1.14E-18 2.55E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.33E-34
 1319.5 1.38E-17 7.82E-18 1.85E-18 4.13E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1320.0 1.17E-17 6.64E-18 1.56E-18 3.50E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1320.5 1.30E-17 7.39E-18 1.73E-18 3.88E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1322.5 7.40E-18 4.24E-18 9.77E-19 2.19E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1324.5 5.02E-17 2.89E-17 6.56E-18 1.47E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1328.0 5.20E-18 3.03E-18 6.67E-19 1.50E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1330.0 6.00E-18 3.53E-18 7.62E-19 1.71E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1332.5 2.90E-18 1.72E-18 3.63E-19 8.18E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1335.0 1.27E-17 7.59E-18 1.57E-18 3.54E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1337.5 1.67E-17 1.01E-17 2.03E-18 4.60E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1340.0 8.30E-18 5.04E-18 9.97E-19 2.26E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1341.0 8.10E-18 4.94E-18 9.68E-19 2.19E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1342.5 6.70E-17 4.11E-17 7.94E-18 1.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1345.0 1.49E-17 9.21E-18 1.74E-18 3.95E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1346.0 7.40E-18 4.59E-18 8.59E-19 1.95E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
